Trav Tec
advances in;Fortschritte in/Fortschritte bei
features;Eigenschaften
spare-parts;Ersatzteile
to invent;erfinden
invention;Erfindung
innovation;Erneuerung
engine;Motor
steering columm;Steuer
brake pedal;Bremspedal
to require gasoline;Treibstoff benötigen
to emit;abgeben/ausstoßen/absondern
water vapor;Wasserdampf
high-performance;Hochleistungs-
to be on display;ausgestellt werden/zu sehen sein
combustion engine; Verbrennungsmotor
fuel cells;Brennstoffzellen
to accelerate;beschleunigen/Gas geben
to twist;drehen
to apply;anwenden/verwenden
to squeeze;drücken
rear-view mirror;Rückspiegel
fully programmable;vollständig programmierbar
preferences;Vorlieben
sporty;sportlich
fuel conserving;Sprit sparend
to eliminate;beheben/beseitigen
safety;Sicherheit
safe;sicher, Safe
to save;sichern/retten
however;jedoch
aluminum;Aluminium
chassis;Fahrgestell/Fahrwerk/Gehäuse
tank;Tank
compressed;komprimiert/zusammengedrückt
shell;Schale/Hülle/Muschel
notorious;berühmt-berüchtigt
to shift gears;die Gänge schalten
gear;Gang
gas-guzzler;Benzinschleuder/Spritfresser
to redesign;umdesignen/umgestalten
to be worth the effort;die Mühe wert sein
to block the view;die Sicht versperren
to turn the wheels;die Räder antreiben
propulsion;Antrieb
night-vision windshield;Nachtsichtwindschutzscheibe
to complain about;sich beschweren über
carpool;Fahrgemeinschaft
passion;Leidenschaft
to withstand;wiederstehen/überdauern
to unplug;ausstecken
hydrogen-powered;Wasserstoff-betrieben
in a crash;bei einem Zusammenstoß
need for airbags; Notwendigkeit von Airbags
to turn;abbiegen
familiar to;vertraut für
to weave through traffic;sich durch den Verkehr fädeln
with confidence;mit Zuversicht
to sense something;etwas warnehmen
to free sbdy from doing sthg; jem. von etw. befreien
to vibrate;vibrieren
dashboard;Armaturenbrett
to measure the pupils;die Pupillen messen
to determine;beschließen
drowsy;schläfrig
to be alerted by;gewarnt werden von
to take a nap;ein Nickerchen machen
to lay a course;eine Rute festsetzen
to drive on autopilot;mit Autopilot fahren
to outfit;ausstatten
to rush;sich beeilen
to replace;ersetzen
in fact;tatsächlich
streamlined;stromlinienförmig
packed with;voll gepackt mit
collision;Aufprall, Zusammenstoß
collision-avoiding radar;Aufprall-vermeidendes Radar
to get distracted;abgelenkt werden
suspension;Federung
a smooth ride;eine sanfte Fahrt
to adjust;anpassen
occupant;Insasse
to see farther;weiter sehen
headlight;Scheinwerfer
to project;projizieren
costly;kostspielig
conversion;Umwandlung
to convert;umwandeln
lever;Hebel
gearshift;Gangschaltung
specially tinted windshield;Speziell getönte Windschutzscheibe
skinny tires;ganz flache Bereifung
